processed_text,IsToxic
video liberal propaganda divide people fuel chaos ferguson stay tune trial fact decide evil white people source problem mean straight watch trial fox news cnn msnbc,False
ugly truth talk like thug act like thug walk like thug live like thug die like thug live sword die sword hate player hate game innocent little child walk street get shoot blame parent look individual case adult kind music listen kind video view role model environment affect enabler associate importantly accountable action unfortunately day choose wrong pathway fate rob store shoplift heck borrow permission crime probably unrecorded catch negative action mike brown mb assault human consequence play big deal childish real folk riot looting attack threat mb culture feel entitle use excuse propaganda find excuse commit crime justice peace hand shoot culture need stop pant ground pant ground look like fool pant ground hat turn sideways gold mouth look like fool pant ground let race lack justice justice naturally street usually end tragedy result immature respect thug believe use size intimidate probably school know street real parent call mb childish childish behavior behavior felonious criminal frank probably cost life different time real parent state son wrong store clerk fact evidence show son assault officer pose threat go officer shot fire son rest peace action condone consequence choice action unconditionally love son forgive officer apologize store clerk hope family people learn action live dictate consequence positive negative like support alternate method event happen non lethal weapon rubber bullet taser mace etc truly support change silence violence sugar coat human race need accountable lastly officer racist shoot mb rhyme reason fact target mb dj black decide gun mb surrender peacefully hand raise mb support cause unfortunately evidence far support paragraph question reaction officer female question reaction officer black african american question reaction mike brown gun peer race question reaction mike brown white question end result death mike brown productive home work school run street people world dangerous sincere ignorance conscientious stupidity martin luther king jr think safe live dangerous time simple fact prove martin luther king jr quote unfortunately come race support lost cause people cry wolf mj repost!﻿,True
people black play victim accord comment fault elect offical racist white good thing go missouri racist white folk point finger punk bitch power goin racism deport,True
protest convert riot majority people want fool politician play game common man care save humanity peace,False
bad testtube video inequality choice white flight change demographic etc remain resident vote nominee city council meeting grievance councilman etc supposedly post racial era america race leader matter oh btw title ask cause riot account answer town lawbreaker,False
punk blast reason cop shoot,True
lot people entire medium miss huge crucial point micheal brown stop place day happen officer say mike brown walk street day later rob convenience store despite fact owner say store rob officer apparently fear life pd claim seriously injure altercation mike brown video show officer perfectly fine stand mike body hour shooting mike body foot away officer mike apparently charge man police shit shit bigot fuck idiot,True
black piece come bit stiff repeat use african american,False
live st louis scary,False
ferguson like american city prison resident feel mistreat discriminate subject illegall search seizure advice country vast confident find great nation find place happy successful,False
believe correct word caucasian white let correct regard great report love video,False
france military teach use lethal weapon use similar equal superior lethal weapon defend superior weapon allow think noble french concept b,False
start teach black law education important instead treat special snowflake,True
agree report certainly think event go ferguson need investigate statistic support targeting particular race number stop search certainly explain away fact population region particular race give great opportunity stop likely go race think analysis need conduct collation say race factor say statistic misleading need consider thoughtfully state support statement,False
funny doctor push drug legal tho prescription drug abuse minority lock year marijuana know beneficial economy war drug start government supply street day racial profiling stupid caucasian commit mass shooting search mall movie theater school etc,False
imply ferguson black elect appoint official white mean majority people ferguson represent black population happen vote support white official median income low mo population black statistic,False
ridiculous liberal tripe mean divide race class barrier blacks(i refuse use word african american oppress local government community band vote vote black live democratic republic sorry argument excuse criminal stat result large black community(68 black need stop listen democrat preach win deck stack oppressive lifestyle rise current condition cling liberal excuse color skin overall presentation,False
way black people behave wonder ferguson shitty place black people fucking lazy say countless example life grandmother get black house nurse bitch day grandmother complain agency send different woman black clean entire house hour mom work hospital nurse black co worker constantly lazy black people like good friend black like like brother fuck expect want ancestor slave hitler kill ancestor sag pant cry like stupid bitch like stupid black people inequality representation probably black people generally lazy lack skill require hold position household income tie previous point lazy lack skill = low income job dropout rate school need take black people ferguson hold high pay job graduate fuck high school bad healthcare tie low income money = well doctor inequality enforcement completely unfair look black officer frisk black people hmmmm interesting maybe,True
wrong majority black community vote sense inequality city government,False
wrong voice,False
people fuck america american fucking hate,True
bill cosby cause,False
justice department audit ferguson police department find count excessive use police force african americans addition find email contain discriminatory language department computer federal government pursue criminal case ferguson police department wonder bob mcculloch try defend,False
wrong audio,False
flat racist race represent equally majority black vote white people mean black vote vote good interest elect white official represent black voter office,False
report inequality enforcement statistic find description question math check teach basic algebra number proportional video scratch surface encourage supplemental research wish know,False
dislike white people offended think racism issue anymore think,True
come black african americans european american white,False
idiot reporter survey percent black involve following:- gang activity shoplifting car jack robbery robbery assault teenage pregnancy,True
racism equally worthless metal jacket,False
testtube explain black stop search white white population search time black population search time pretty obvious white likely search want explain find team actually remember basic grade school math wrong video explain seriously enjoy watch channel bias strong want unsubscribe,False
majority people ferguson african american elect official african american mayor city council police chief elect official people community step fill role,False
favorite test tube video far,False
hear billionaire fund organise riot fucken suck joke,True
slow not tell speed ms scully talk quickly great video great information little fast,False
not agree police action kill boy mean protest loot destroy neighbourhood stupid make people want support struggle,False
fucking savage protest sumthe real like government rob sendin kid elegal war laugh stock america congrat,True
come read racist comment lol,False
sure people protest actually protest believe people take advantage sad situation cause chaos damage hurt community,False
need come togather,False
not peacefully protest burn car lol,False
section lady gentleman black people misbehave wonder happen riot court decision way,True
dirtbag include cnn,True
protester throw stuff reporter,False
guy 0:34 get hard,False
watch keep mutter shoot shoot pull trigger rubber bullet hurt like mfer,True
send france,False
fun fact live ammo gun rubber slug,False
fucking brain dead let nazi police scum bag,True
dis furgusun de unitid stateth o murka retard start violent protest try pawn police state lie cop arrive,True
god bless police,False
usa land free baby hahahaha people live usa thankful everyday bad country earth,True
virginia,False
wow need shit straight weapon point vid ready position riot understandable course action know,False
dumber people earth american,True
screw price crap think cool disrespect american flag,True
shoot ask question later hahahahahaha,True
police army,False
shoot,True
true dictatorship let wait check coutrie start sanction u.s government guess country usa corrupted country world russia china,True
point think cop point gun know tell provoke,False
techno party,False
awesome job law enforcement send disrupt tear islamic extremist radical america thank,True
bad weapon discharge,True
obama hos face city support sad,False
wait riot people stand boredly sidewalk guy gun middle traffic,False
police clean mess quick nice,True
find satisfying reason,True
confederation ill,False
gun use rubber bullet stupid russian news channel,True
perfect police,False
protester suck,True
rocket launcher care lightly armored vehicle lol,True
bad riot shotgun load live round,True
time test police gun fire fire,True
buy ak47 shoot usa copa,True
ah beautiful,True
kill protester,True
think guy profiting standoff care,False
blue life let matter send blm commie street,True
cop protester steal destroy thing solve shit,True
impose gunlaw fact machine gun people police car body protection like tank want,False
shit serve medium concoct story white cop kill innocent black teenager bullshit black community arm burn shit story useless talk head camera week black white crime report news national attention federal involvement wtf black man need stand father stop look excuse fuck you you,True
video actually happen simply try smear young man image want rapper steal cigar video deserve death sentence release new video officer wilson show injury show officer wilson truthful incident need wait detail post bias video go post video sure accurate mention friend criminal state brown give black white witness incident state hand surrender wilson shoot,False
funny thing government trust judge fuck disgusting,True
relevance marijuana autopsy show entry wound spread body close range spread tight hit region likely chest area long range spread disperse report wound underside arm expose arm raise gesture peace ie hand away body pose plus powder burn body far away,False
know crazy actually come video bitcoin try learn know look familiar take time look mike browns personal profile specifically soundcloud think guilty represent wrong light maybe steal deserve die fact white people like continue insinuate ridiculous show clear lack empathy sympathy like animal think especially offensive look video year later hip hop rnb black culture big thing medium not understand perspective trayvon martin make lean video show ignorant truly sprite fanta carbonated drink make lean tea,True
stefan like standup darren wilson event lose integrity clean chit consider incompetent ferguson police turn,False
typical mindset white people white people deserve people like sean hannity feule fire prejudice racism let people influence want race war start marshall law,True
perform basic snatch grab robbery local convenience store turn strong arm robbery immigrant midget store clerk minute later light yahoo cop tell fuck middle road proceed recognize fit description assailant come radio talk mutherfuckin karma steal shit warrant deadly force karma bitch fuck ability control direct measure decree be mutherfucker put pant leg time sure,True
sad watch youtube video non biased report go ferguson thank,False
dude sure know good bit smoking weed hmmm accord clown black man somewhat gang factual base photo justify murder unarmed human ok mf er,True
injury cop treat,False
wonder big crater thug brown street meet final shot melon sew blm truth fact shit kitchen right direction toilet,True
stefan fan rep m. river,False
corrupt police harm safe defend self fight shoot dead ready cause catalyst fact city town government usa catalyst pot boil year generation bring equalizer door step purge feel effect,True
shocking truth come light,False
clearly racist shrill canadian vegatable plant live box ivory snow truly know negro race,True
guy love guy spend minute telus roll blunt,False
taser gun need,False
molyneux sir dumb smart guy researcher research enitre history blackman america understand thing way detachted reality comical,True
yeah course go college money come pel majority negros drop half way semester,False
white folk ask cop ruin career answer know away know chief fellow cop cover know white folk asshole like excuse slim chance trial kind acquit,False
black want respect speak act dress like huxtable family want treat prejudice speak act dress like know gangster steal thing act like street,True
leave information give police report ask info lie omission outright lying omit information stupid lawyer,True
micheal brown ask get think shoot black racist,False
ok dipshit care foot tall pound backup use pepper spray use baton use taser wait backup use gun saying monkey blindfold hand tie anyways preliminary autopsy show shoot time lethal area execute gunshot wound head,True
deserve kill smoke weed like fight throw gang sign allegedly steal cigar,False
great point thank try calmly dissect pray truth come handle truth,False
cell phone video show anymore sorry message say private,False
publish aug truth uncover know likely not assume know entire story investigate fed go investigate pd go year case think go know time go assume know answer look microscope misleading people,False
guess wrong life accord analysis police right shoot time sure dead dead proud officer tell hope child,False
look like medium come bogus clam cause division thing question people truth government plane medium fuel,False
stephan ve watch post truth henry kissinger interested hear opinion man ty,False
intellectual mature approach case 1- black man old black man prison dead stick matrix truther struggle old man guide young male encounter police understand deal cop role model come rapper advocate violence police deer catch headlight potential life death encounter racism 2- black people rant hate crime clearly assault store clerk indicate propensity violence wilson stop point finger address problem black teen lack male role model say black people need address alternative deal suspect victim non lethal weaponry deal encounter race start focus solution possible violent encounter alternative progress police 4- protest burn community retalitation police support theory brown product violent environment burn business go solve problem police department counter productive hoax,False
freak people racist police awful,True
shoot time inside right arm palm hand hand surrender position consistent charge officer consistent eye witness account say surrender,False
great video wish focus shit police thing keep rioter supporter complete idiot,True
go viral view police,False
thug go college black people cry american indians cry,True
guy get high lot,False
michael brown person shoot week notice share common,False
character matter un armed kill hand damn arrest kill fuck let oj away murder kill boy steal cigar,False
bullshit good place live america completely liberal bad place live america overwhelmingly republican fact jack,True
internet trolling time high,False
want shoot hardly wait till kid get trouble police get kill,True
great video thank put right away think usual sad young turk channel go cliche think look like bunch hypocrite,False
blunt = addiction tobacco blunt keep call play race card,False
cop need give wide latitude self defense consider threat face incapacitate high chance execute dam gun.noone o care shit,True
know hold hand raise hand police ferguson racist scumbag watch tv count lot racist scumbag,True
drug,False
interesting informative,False
hoax,False
love picture brown angel tug,True
hear guy say policeman state year service officer die weapon shoot execution style fuck officer wilson let pound guy run 150ft big run fast assume ft tell brown freeze shoot bs way tell,True
black young woman like stefan think need people like country,False
death ti white devil,True
major difference zimmerman case shooter zimmerman withhold take custody news medium able document zimmerman injury immediately case handle horribly lack immediate transparency true po question cover community history police abuse miss video alleged abuse occur response medium peaceful protester show complete lack understanding escalation unlike authority deal potential zimmerman looting riot pd case attack protester station near loot target protect business criminal opportunity distraction like storm blackout protest loot authority know know great propaganda protester see cause looting pd fail protect business illustrate amendment valuable business owner depend pd protection get loot business owner depend right bear arm loot,False
michael brown positively identify assailant store suppose robbery darren wilson aware robbery time encounter clearly racist unsubscribe,False
need search youtube actual cnn doctor audio michaelbrown shooting cnn catch change evidence﻿,False
informative appreciate video,False
forgot add timeline suspect assault owner store threaten,False
great video level head cogent fair unfortunately cognitive dissonance confirmation bias take hold discussion breath fresh air thank stefan,False
couple thing miss side argument firstly yes guy dead dead crime scene course cover body secondly officer call incident base multiple source odd addition excuse strong armed robbery understand money weed need rob cigar regardless excuse getting shoot street ignore eyewitness account assume lie shot blatantly excessive lastly admit rap law mention rap law thing come close smoke marijuana course legal state get fight teenager,False
hard believe guy run officer shoot drug know illicit type behavior pcp,False
crazy like video actually watch video min video min long lol,False
update apologize fair report,False
honestly believe mike brown actually try cops gun cop sit car stupid think kid charge point gun beast high high mike store easily epic fail sir officer toxicology test officer obviously scared go use weapon intimidate mike size officer know mike steal tell dispatcher know shooting area fact straight,True
care mike brown bullshit clearly understand youtube guy racist dumb point hold little water hate lies100,True
police car far away body officer realy good shot assault bs wake believe delude start vid point medium portray gentle giant go use similar tactic discredit mb ref pot make rap music guy make vid dad leave town,False
focus happen officer confront brown lead death matter focus,False
dear grindahz aka pot call kettle black spelling list week weather way weigh ferguson stupid hypocrite stay tune grammar lesson punctuation lesson,False
thug name brown rush cop frown bullet later meet creator homie burn town,True
lmao read dude rap good,False
"stef, agree fact case grey realize cop getting catch act unjustified violence daily basis getting catch video writing narrative brutality thuggery public tolerate long police brutality record police dangerous necessary",False
watch zimmerman case video shit smell hate seep bring rap music listen sound cloud charcter look foolish dangerous possible want respond fuck az well> effort destroy mike brown character bring smoking habit get shoot tone perfectly choose word use make brown look like unstable look detail u go trhu slay brown character,True
remember looting(stealing black purely gain free goods.all mike brown.yea right.it excuse steal pure simple.a good concise introspective steffan.some folk live grievance.this follow perfectly white guilt segment.keep em rollin,True
pant loot,False
researcher plan examine fact mention bullshit rumour trayvon martin iced tea skittle fact speculation victim blaming actually stop try pretend yo examine fact,True
line michael brown drug addict criminal violent criminal feel bad get kill criminal,True
want know shoot pretty tell story shoot rest matter,False
hahahahaha molyneux recite rap lyric intense,False
deadly force fine line m brutal s winning,False
michael brown research opinion man dangerous rob store weapon dangerous criminal gentle giant proof show brown attack wilson peace officer beginning race issue government medium create race issue attack constitutional right,False
think get bunch fact lean skittle iced tea wilson know robbery video bunch poppy cock thank waste time,True
medical cannabis guy like couple face book fight page mean necessarily aggressive,False
lol trayvon online nolimitnigga people get mad piece human trash like get shoot,True
oh brown arm big muscular arm,False
time report mr brown approach officer officer engage young man mr brown run away officer report fire flight inconsistent turn confront cop hit bullet like black folk listen spin video give weight eye witness report video discredit dead young man,False
nicely,False
mr stefan molyneux mr wilson drive multifple story deserve fair trial wilson law enforcer firm happen good wilson speak truly respect officer talk public hide,False
people say cop justify here new video witness say mr brown hand,False
big problem case shooting michael brown militarize police response primarily peaceful protester police suppression medium coverage,False
yea fuck store clerk dare try job,True
info mike brown bring fact darrin wilson test positive illegal mood altering non prescription steroid post shoot toxicology test wonder info give grand jury doubtful,False
great vid,False
real question need ask mike brown rush cop draw weapon shoot way answer true color think black male disregard life kill cop escalate punishment probation petty theft death penalty kill cop utterly absurd truly believe go start college week sorry racist,False
year old useless negro barely pass inner city high school glad shoot dead street like dog.﻿,True
move think,False
police concentrate investigation people call misbehave hope investigation get cancel behave let police work say guy commit suicide cop attack police place clear disrespect police way,True
lmfao,False
man stefan,False
agree people arm need find information rioting think get high drug rob store carelessly walk middle street scream cop + attack reach gun unarmed mention size people gullible find funny race racist black racist white single time racist black person throw hand get piss white people racist person want sit believe white people racist people happen past make sick think grow generation,False
true police originally say robbery stop claim notice cigar,False
thank sobering analysis stefan bias deception left mainstream medium insane,False
stefan molyneux explain inquiry handling subsequent unrest circular language game pretty simple straightforward question avoid unnecessarily hostile manner justification heavy handed militaristic response looting official handle situation decide initially block access area medium family member live area attest unprofessionalism hostility law enforcement handle early incorrect info direct fact understand go straight attack respect logic willing share thank advance hopefully will not continue insult reason choose,False
race news article get national medium attention week,False
look like gentle giant video rob steal look like disgusting thieving thug,True
omg stefan rap hysterical good news guess know whatshisname douche deserve die premptive strike officer darren wilson huzzah trash take street probably cure disease treat symptom disease ignorance self entitlement community low class get poverty not easy starting point not easy feasible right drive,True
god look raw footage shocking ferguson riot watch guy god hd,False
+ stefan molyneux hate black actually surprised bloody british people conquer absolutely freedom gain decade hate pale wonder mother black woman,True
