,IsToxic,processed_text
88,True,proof black not victim statistically cop kill white black white necessary save life cost place like ferguson lose mind statistically murder black kill black white consist murderer race white enslave black year europeansthe race start america later enslave african begin search north africa establish trade good native late white enslave later table turn boy girl call karma statistically murder black despite make entire population despite white population murder white welfare recipient black make not extreme realize consist whith make mean individual black person time likely white use welfare
89,True,white man not finish sentence america need wake upthe truth murder
90,False,ill sure avoid get guy taxi cab
91,True,fuck media bassem right find real investigate exaggerate want view money fuck selfish fuck people disgusting not know bare nasty self
92,False,cnn youse guy go far ill tell bad go happen bad go benefit not care money ellen well like rest careful russia careful kid
93,False,guy need grow
94,True,shoot apprehend easier say evidence present michael brown attackin darren shoot twice people misconception like movie gun shoot body disable attacker false belief case people attack run ve shoot time god sake cent shoot time s alive attack ft somthe pound person hard m goin shoot apprehend michael brown copnducte like gentleman not happen aggresive piece shit muslim shit head not well s fill rage not answer progression come tolerance violence
95,False,brown daily killing nonwhite white cop s reality
96,True,guy hire idiot
97,True,guy moron
98,True,cnnso touchclose idiot people watch comedy reportinglol
99,True,bassem masri criminal thug psychopath credibility humanity need lock jail cell time rubberroom straightjacket bassem intellectually dishonest butt community
100,True,cnn joke
101,True,wonder police expect happen continually abuse kill people honestly expect public lay let cop turn massive street gang allow kill consequence rat cornered defend
102,True,not want son death vain let burn bitch stupid fuck destroy livelihood peaceful protest fucking ass
103,False,guy hero
104,False,sound spit arab expression
105,False,wow
106,False,think indecent unessacerry event person shoot mr brown steal not intirely police officer fault
107,True,genuine failure leadership president united states nice town ferguson declare state emergency martial law federal troop stuff town nonresident push know go riot butwhat president not want offend black community not want shoot let er burn baby burn real leader way mr president sir fail reprehensibly accuse
108,False,know irradiate commercial strawberry seed will not germinate
109,True,arabs hate black people isis sympathizer want community nonsense
110,True,not life understand people think mike brown martyr cause man criminal black people criminal absolutely white criminal hispanic criminal betcha situation exactly race reverse issue
112,False,old mans way try forever work look
113,False,u wat m sayin
114,True,badge bitch half fuck police
115,True,arab piece shit act like get harrasse parent store act like get treat like black people lol people steal store moron piece shit
116,False,people like guy make america shake head nawamsain fuck not
117,True,police brutality affect black issue black issue s people not black tend stop listen end racial profiling police not fuck police not care color not policeman fuck look youtube notice brutality not discriminate stop racial bullshit want cop finally hold accountable powertripping action need realize play m black black black card make people not black feel sympathetic race issue
118,False,christians rock
119,False,good cnn anchor see
120,True,islamic terrorist insighting hatred violence disguise african citizen time american citizen realise true enemy islam black white people
121,True,fuck cnn corrupt demon worship fool
122,True,guy dumbass claim police hire thug take phone shoot round evidence claim
123,True,mike browns father buy ithe get catch video say burn bitch reffere fergusonand dude interviwing thug give air time
124,True,brown isuse excuse loot people shit destroy neighborhood haaaa typical ghetto bullshit ya be not hood ya ghetto bitch collect free rent govt fight govt occupy wall street faget clean highway
125,False,wtf not guy get mug iphone ferguson video hilarious
126,False,trayvon martin michael brown common real reason riot dare speak zimmerman case common factor race monger like al sharpton cnn msnbc whip black community racism racism injustice injustice year promise zimmerman michael brown style case big question similar case face real root cause problem suffer black americans poverty high crime high black black murder rate far easy turn blind eye point finger shout racism root cause black problem america racism root cause break black american family high number fatherless child grow single parent home government statistic reveal child bear fatherless home likely drop school likely history unemployment high chance poverty likely serve time prison list go look fact black child grow fatherless home compare white child number begin explain black poverty black crime high black america black mother welfare comply dysfunctional gangsterrap culture glorify promiscuity drug dealer abuse woman power gun problem begin emerge reason death trayvon martin michael brown begin come clear black americans minority dying probably killing need say black culture violence finance welfare system conclusion like say race base case soon fact end long race monger like sharpton cnn msnbc continue promote idea racism disintegration black american family ferguson corner
127,False,shot disable man officer feel threatened backup shot man continue threaten transcript witness evidence release question unanswered answer pray involve find peace terrible encounter aman
128,True,thought waste skin catch desert not popular guy free people allow party not live bookend country rest libshit justice know majority real americans despise way know day continue exist ying yang motherjumper
129,True,wow ahole make cnn interviewer reasonable balanced
130,True,argue idiot
131,False,ratchetlol
132,True,stfu muslim piece shit cop fire round ass well let cut head pour pig blood throat willing bet dirty fckn islamic bastard set fire black
133,False,song address ferguson issue today listen thank tha big picture soundcloud listen tha big picture kool d np soundcloud
134,True,michael smerconish little bitch like subtly try insult guy guy laugh show low cnn stoop garbage hole cnn piece ass suck work michael smerconish guess wonder home not watch cnn crap news network
135,False,thanksgiven christmas owner business lootedstole burn good reason year come people serve one burn god mercy
136,False,grand jury amd processor power justice system amd connection police department s m sayin honestly
137,True,protect serve people like michael brown guy deserve kill cry
138,False,cop shoot white guy riot shoot black guy think black look evidence skin color throw race card crap like
139,True,find amuse protester claim fight racism blind racism report black people attack white people couple day ago report white man beat death hammer black teen st louis yeah clearly racial intent fuck hypocrite
140,False,excellent d mediaslave wait speak outso get lose tragedy s travesty happen s go thee origin usa nbody free thee illusion real thee struggle experience collision experiment psychological warfare attrition type thatalway aware bait not allow create helter skelter
141,True,michael brown rob store assault store owner fight police officer darren wilson police window go officer gun shoot kill brown shirt say m arm happen criminal activity regardless color skin linch mob mentality way public pressure fact support browns activity day wonder brown want death suicide cop family sue
142,True,fucking fuck not defend properly joke
143,True,wow think m go buy bullet proof vestshit black like everybody tryin shoot
144,True,black officer shoot white guy fine black people m racist
145,True,delusional moron anger justify mike unjustly kill hand mike malicious person shooting justify rioting justify know happen day riot take place basis assumption
146,True,omg terrorist isis undercoveragent americans arrest
147,False,let real people camera truth tell pure form
148,False,criminal kid shoot police everyday plus mike brown bad criminal record start fight
149,True,city dumb people not try reason
150,True,county middle east s county b
151,False,people shoot everyday come s get attention
152,True,history mankind people color creed culture find way rise ashe oppression self betterment self preservation black enlighten unknown phenomenon
153,True,fucking douche bag
154,True,cnn need hire man real american trouble
155,True,feral hoodlum rest long need fear thuggish behavior upset blame parent fail raise right provide proper supervision defective start way sound like case quality control thank officer wilson job
156,True,government kill population
157,True,fakecnn b
158,True,need basic savage riot protest use german shepard shoot animal
159,True,hell interview guy idiot
160,True,oh god fucking love arab guy wise word seriously open eye world see thing rare world today big fucking amen guy wake fuck america
161,True,mr smerconish sir journalist journalist claim interview object heshe search fame interview andor heshe speak direction want try defame person illegal definitively serve time school truly obvious handle word mouth care critical authority wait ton paper show knowthat run stop hand air get shoot multiple time doubt happen witness say investigative journalist go ask people opinion superior chair real reporting shame shame cnn hire professional
162,True,arab rap ahead brolol getto
163,False,not dude get knock phone steal ferguson
164,True,bassem masri uneducated idiot listen word come mouth sound like stupid little kid sorry grow fuck learn law instead repeat freedom speech m citizen ahead bro ill listen somebody shut guy
165,True,white child deserve future ten million nonwhite flood white country year decade mean white minority country found black country remain majority black asian country remain majority asian white country affect genocide international law antiwhite not genocide diversity diversity mean chase white child antiracist codeword antiwhite
166,False,bassem masri say bro
167,True,guy idiot s good lose bozo
168,True,s period big mouth moron
169,True,muslim like spit white people bring muslim nggrs wait big plasma cheap tv loot shop
170,True,yep muslim bitch
171,True,masri unemployed
172,False,wait area majority african americans not majority people pull search arrest area african american
173,False,video liberal propaganda divide people fuel chaos ferguson stay tune trial fact decide evil white people source problem mean straight watch trial fox news cnn msnbc
174,True,ugly truth talk like thug act like thug walk like thug live like thug die like thug live sword die sword not hate player hate game innocent little child walk street get shoot blame parent look individual case adult kind music listen kind video view role model environment affect enabler associate importantly accountable action unfortunately day choose wrong pathway fate rob store shoplift heck borrow permission crime probably unrecorded catch negative action mike brown mb assault human consequence play big deal childish real folk riot loot attack threat mb culture feel entitle use excuse propaganda find excuse commit crime justice peace hand not shoot culture need stop pant ground pant ground look like fool pant ground hat turn sideways gold mouth look like fool pant ground let race lack justice justice naturally street usually end tragedy result immature respect thug believe use size intimidate probably school know street real parent call mb childish childish behavior behavior felonious criminal frank probably cost life different time real parent state son wrong store clerk fact evidence show son assault officer pose threat go officer shot fire son rest peace action condone consequence choice action unconditionally love son forgive officer apologize store clerk hope family people learn action live dictate consequence positive negative like support alternate method event happen nonlethal weapon rubber bullet taser mace etc truly support change silence violence sugar coat human race need accountable lastly officer racist shoot mb rhyme reason fact target mb dj black decide gun mb surrender peacefully hand raise mb support cause unfortunately evidence far support paragraph question reaction officer female question reaction officer blackafrican american question reaction mike brown gun peer race question reaction mike brown white question end result death mike brown productive home work school run street people world dangerous sincere ignorance conscientious stupidity martin luther king jr think safe live dangerous time simple fact prove martin luther king jrs quote unfortunately come race support lost cause people cry wolf mj repost
175,True,people black play victim accord comment fault elect offical racist white good thing go missouri racist white folk point finger punk bitch power goin racism deport
176,False,protest convert riot majority people want not fool politician play game common man care save humanity peace
177,False,bad testtube video inequality choice white flight change demographic etc remain resident vote nominee city council meeting grievance councilman etc supposedly postracial era america race leader matter oh btw title ask cause riot account answer outoftown lawbreaker
178,True,punk blast reason cop not shoot
179,True,lot people entire medium miss huge crucial point micheal brown stop place day happen officer say mike brown walk street day later rob convenience store despite fact owner say store rob officer apparently fear life pd claim seriously injure altercation mike brown video show officer perfectly fine stand mike body hour shooting mike body foot away officer mike apparently charge man police shit not shit bigot fuck idiot
180,False,black piece come bit stiff repeat use african american
181,False,live st louis scary
182,False,ferguson like american city prison resident feel mistreat discriminated subject illegall search seizure advice country vast confident find great nation find place happy successful
183,False,believe correct word caucasian white let correct regard great report love video
184,False,france military teach use lethal weapon use similarequal superior lethal weapon defend superior weapon notnever allow think s noble french concept b
185,True,start teach black law education important instead treat special snowflake
186,False,agree report certainly think event go ferguson need investigate statistic support targeting particular race number stop search certainly explain away fact population region particular race give great opportunity stop likely go race think analysis need conduct collation say race factor say statistic misleading need consider thoughtfully state support statement
187,False,funny doctor push drug legal tho prescription drug abuse minority lock year marijuana know beneficial economy war drug start government supply street day racial profiling stupid caucasian commit mass shooting not search mall movie theater school etc
188,False,imply ferguson black elect appoint official white mean majority people ferguson not represent black population not happen vote support white official median income low mo population black statistic
189,False,ridiculous liberal tripe mean divide raceclass barrier blacksi refuse use word african american oppress local government community band vote vote black live democratic republic sorry argument excuse criminal stat result large black black need stop listen democrat preach win deck stack oppressive lifestyle ll rise current condition cling liberal excuse color skin overall presentation
190,True,way black people behave wonder ferguson shitty place black people fucking lazy say countless example life grandmother get black house nurse bitch day grandmother complain agency send different woman not black clean entire house hour mom work hospital nurse black co worker constantly lazy black people like good friend black like like brother fuck expect want ancestor slave hitler kill ancestor sag pant cry like stupid bitch like stupid black people inequality representation probably black people generally lazy lack skill require hold position household income tie previous point lazylacke skill low income job dropout rate school need take black people ferguson hold high pay job not graduate fuck high school bad healthcare tie low income money well doctor inequality enforcement completely unfair look black officer frisk black people hmmmm interesting maybe
191,False,wrong majority black community not vote not sense inequality city government
192,False,wrong voice
193,True,people fuck america american fucking hate
194,False,bill cosby cause
195,False,justice department audit ferguson police department find count excessive use police force africanamericans addition find email contain discriminatory language department computer federal government pursue criminal case ferguson police department wonder bob mcculloch try defend
196,False,wrong audio
197,False,s flat racist race not represent equally majority black vote white people mean black vote not vote good interest elect white official not represent black voter himher office
198,False,report inequality enforcement statistic find description question math check teach basic algebra number proportional video scratch surface encourage supplemental research wish know
199,True,s dislike white people offended think racism not issue anymorethink
200,False,come black african americans european american white
201,True,idiot reporter survey percent black involve follow gang activity shoplift car jack robbery robbery assault teenage pregnancy
202,False,racism equally worthless metal jacket
203,False,testtube explain black stop search white white population search time black population search time pretty obvious white likely search want explain find team actually remember basic grade school math wrong video explain seriously enjoy watch channel bias strong want unsubscribe
204,False,majority people ferguson african american elect official african american mayor city council police chief elect official people community step fill role
205,False,favorite test tube video far
206,True,hear billionaire fund organise riot fucken suck joke
207,False,slow not tell speed ms scully talk quickly great video great information little fast
208,False,not agree police action kill boy mean protest loot destroy neighbourhood stupid make people not want support struggle
209,True,fucking savage protest sumthe real like government rob sendin kid elegal war laugh stock america congrat
210,False,come read racist comment lol
211,False,sure people protest actually protest believe people take advantage sad situation cause chaos damage hurt community
212,False,need come togather
213,False,not peacefully protest burn car lol
214,True,section lady gentleman black people misbehave wonder happen riot court decision way
215,True,dirtbag include cnn
216,False,protester throw stuff reporter
217,False,guy get hard
218,True,watch keep mutter shoot shoot pull trigger rubber bullet hurt like mfer
219,False,send france
220,False,fun fact live ammo gun rubber slug
221,True,fucking brain dead let nazi police scum bag
222,True,dis furgusun de unitid stateth o murka retard start violent protest try pawn police state lie cop arrive
223,False,god bless police
224,True,usa land free baby hahahaha people live usa thankful everyday bad country earth
225,False,virginia
226,False,wow need shit straight weapon point vid ready position riot understandable course action know
227,True,dumber people earth american
228,True,screw price crap think s cool disrespect american flag
229,True,shoot ask question later hahahahahaha
230,False,police army
231,True,shoot
232,True,true dictatorship let wait check coutrie start sanction government guess country usa corrupted country world russia china
233,False,m point think cop point gun know m tell provoke
234,False,techno party
235,True,awesome job law enforcement send disrupt tear islamic extremist radical america thank
236,True,bad weapon discharge
237,False,obama hos face city support himsad
238,False,wait riot people stand boredly sidewalk guy gun middle traffic
239,True,police clean mess quick nice
240,True,find satisfying reason
241,False,confederation ill
242,True,gun use rubber bullet stupid russian news channel
243,False,perfect police
244,True,protester suck
245,True,rocket launcher care lightly armored vehicle lol
246,True,bad riot shotgun load live round
247,True,time test police gun fire fire
248,True,buy shoot usa copa
249,True,ah beautiful
250,True,kill protester
251,False,think guy profiting standoff care
252,True,blue life let matter send blm commie street
253,True,m cop protester steal destroy thing not solve shit
254,False,impose gunlaw fact machine gun people police car body protection like tank want
255,True,shit serve medium concoct story white cop kill innocent black teenager bullshit black community arm burn shit downmore story useless talk head camera week black white crime report newsno national attention federal involvementwtf black man need stand father stop look excuse fuck you you
256,False,video actually happen simply try smear young man image want rapper steal cigar video deserve death sentence release new video officer wilson show injury show officer wilson truthful incident need wait detail post bias video go post video sure accurate mention friend criminal state brown give black white witness incident state hand surrender wilson shoot
257,True,funny thing government trust judge fuck disgusting
258,False,relevance marijuana autopsy show entry wound spread body close range spread tight hit region likely chest area long range spread disperse report wound underside arm expose arm raise gesture peace ie hand away body pose plus powder burn body far away
259,True,know crazy actually come video bitcoin try learn know look familiar take time look mike browns personal profile specifically soundcloud think guilty represent wrong light maybe steal not deserve die fact white people like continue insinuate ridiculous show clear lack empathy sympathy like animal think especially offensive look video year later hiphop rnb black culture big thing medium not understand perspective trayvon martin make lean video show ignorant truly sprite fanta carbonated drink make leannot tea
260,False,stefan like standup darren wilson event lose integrity clean chit consider incompetent ferguson police turn
261,True,typical mindset white people white people deserve people like sean hannity feule fire prejudice racism not let people influence want race war start marshall law
262,True,perform basic snatch grab robbery local convenience store turn strong arm robbery immigrant midget store clerk minute later light yahoo cop tell fuck middle road proceed recognize fit description assailant come radio talk mutherfuckin karma stealing shit warrant deadly force karmas bitch fuck ability control direct measure decree be not mutherfucker put pant leg time s sure
263,False,sad watch youtube video non biased report s go ferguson thank
264,True,dude sure know good bit smoking weed hmmm accord clown black man somewhat gang factual base photo justify murder unarmed human ok mfer
265,False,injury cop treat
266,True,wonder big crater thug brown street meet final shot melon sew blm truth fact not shit kitchen right direction toilet
267,False,stefan fan rep m river
268,True,corrupt police harm safe defend self fight shoot dead will ready cause catalyst fact citytowngovernmentusa catalyst pot boil year generation bring equalizer door step purge feel effect
269,False,shocking truth come light
270,True,clearly racist shrill canadian vegatable plant live box ivory snow truly know negro race
271,False,guy love guy spend minute telus roll blunt
272,False,s taser gun need
273,True,stefan molyneux sir dumb smart guy researcher research enitre history blackman america understand thing way detachted reality comical
274,False,yeah course go college money come pel majority negros drop half way semester
275,False,white folk ask cop ruin career answer know away know chief fellow cop cover know white folk asshole like excuse slim chance trial kind acquit
276,True,black want respect speak act dress like huxtable family want treat prejudice speak act dress like know gangster steal thing act like street
277,True,leave information give police report not ask info lie omission s outright lyingbecause omit information stupid lawyer
278,False,micheal brown ask get think shoot black racist
279,True,ok dipshit not care s foot tall pound backup use pepper spray use baton use taser wait backup use gun saying monkey blindfold hand tie anyways preliminary autopsy show shoot time lethal area execute gunshot wound head
280,False,deserve kill smoke weedlike fightingthrow gang sign allegedly steal cigar
281,False,great point thank try calmly dissect pray truth come handle truth
282,False,cell phone video show anymore sorry message say private
283,False,publish aug truth uncover know likelyyou not assume know entire story investigate fed go investigate pd go year case think go know time go assume know answer look microscope misleading people
284,False,guess ve wrong life accord analysis police right shoot time sure dead dead proud officer tell hope child
285,False,look like medium come bogus clam cause division thing question not not people truth government plane medium fuel
286,False,stephan ve watch post truth henry kissinger interested hear opinion man ty
287,False,intellectual mature approach case black man old black man prison dead stick matrix truther struggle old man guide young male encounter police understand deal cop role model come rapper advocate violence police deer catch headlight potential life death encounter racism black people rant hate crime clearly assault store clerk indicate propensity violence wilson stop point finger address problem black teen lack male role model say black people need address alternative deal suspectsvictim nonlethal weaponry deal encounter race start focus solution possible violent encounter alternative progress police not protest burn community retalitation police support theory brown product violent environment burn business go solve problem police department counterproductive hoax
288,True,freaking people racist police awful
289,False,shoot time inside right arm palm hand not hand surrender position s consistent charge officer consistent eye witness account say surrender
290,True,great video wish ve focus shit police s thing keep rioter supporter complete idiot
291,False,go viral view police
292,True,thug go college black people cry american indians not cry
293,False,guy get high lot
294,False,michael brown person shoot week notice share common
295,False,character matter unarmed kill hand damn arrest kill fuck let oj away murder kill boy steal cigar
296,True,bullshit good place live america completely liberal bad place live america overwhelmingly republican fact jack
297,False,internet trolling time high
298,True,want shoot hardly wait till kid get trouble police get kill
299,False,great video thank put right away think usual sad young turk channel go cliche think look like bunch hypocrite
300,False,blunt addiction tobacco blunt keep call play race card
301,True,cop need give wide latitude self defense consider threat face incapacitate high chance execute dam gunnoone o care shit
302,True,know hold hand raise hand police ferguson racist scumbag watch tv count lot racist scumbag
303,False,drug
304,False,interesting informative
305,False,hoax
306,True,love picture brown angel tug
307,True,hear guy say policeman state year service officer die weapon shoot execution style fuck officer wilson let pound guy run big run fast assume not ft tell brown freeze hell shoot bs way tell
308,False,m black young woman like stefan think need people like country
309,True,death ti white devil
310,False,major difference zimmerman case shooter zimmermans withhold take custody news medium able document zimmerman injury immediately case handle horribly lack immediate transparency true po question coverup community history police abuse miss video alleged abuse occur response medium peaceful protester show complete lack understanding escalation unlike authority deal potential zimmerman looting riot pd case attack protester station near loot target protect business criminal opportunity distraction like storm blackout protest loot authority know know great propaganda protester see cause looting pd fail protect business illustrate amendment valuable business owner depend pd protection get loot business owner depend right bear arm loot
311,False,michael brown positively identify assailant store suppose robbery darren wilson aware robbery time encounter clearly racist unsubscribe
312,False,need search youtube actual cnn doctored audio michaelbrown shooting cnn catch change evidence
313,False,informative appreciate video
314,False,forgot add timeline suspect assault owner store threaten
315,False,great video levelheade cogent fair unfortunately cognitive dissonance confirmation bias take hold discussion breath fresh air thank stefan
316,False,couple thing miss side argument firstly yes guy dead dead crime sceneof course not cover body secondly officer call incident base multiple source odd addition excuse strong armed robberybut not understand money weed need rob cigar regardless not excuse getting shoot street ignore eyewitness account assume lie shot blatantly excessive lastly admit rap law mention rap not law thing come close smoke marijuana course legal state get fight teenager
317,False,hard believe guy run officer shoot drug know illicit type behavior pcp
318,False,crazy like video actually watch video min video min long lol
319,False,update apologize fair report
320,True,honestly believe mike brown actually try cops gun cop sit car stupid think kid charge point gun beast high high mike store easilyepic fail sir officer toxicology test officer obviously scared go use weapon intimidate mike size officer not know mike steal tell dispatcher know shooting area fact straight
321,True,not care mike brown bullshit clearly understand youtube guy racist dumb point hold little water s hate
322,False,police car far away body officer realy good shot assaultedthis bs wake believe delude start vid point medium portray gentle giant go use similar tactic discredit mb ref pot make rap music guy make vid dad leave town
323,False,focus happen officer confront brown lead death matter focus
324,False,dear grindahz aka pot call kettle black spelling list week weather way weigh ferguson stupid hypocrite stay tune grammar lesson punctuation lesson
325,True,thug name brown rush cop frown bullet later meet creator homie burn town
326,False,lmao read dude rap good
327,False,stefi agree fact case grey realize cop getting catch act unjustified violence daily basis getting catch video writing narrative brutality thuggery public tolerate long police brutality record police dangerous necessary
328,True,watch zimmerman case video shit smell hate seep bring rap music listen soundcloud charcter look foolish dangerous possible want respond fuck az wellyou effort destroy mike browns character bring smoking habit get shoot tone perfectly choose word use make brown look like unstable look detail u go trhu slay browns character
329,True,rememberthe lootingstealing black purely gain free goodsall mike brownyea rightit excuse stealpure simplea good concise introspective steffansome folk live grievancethis follow perfectly white guilt segmentkeep em rollin
330,False,pant not loot
331,True,researcher plan examine fact mention bullshit rumour trayvon martin iced tea skittle fact speculation victim blaming actually stop try pretend yo examine fact
332,True,line michael brown drug addict criminal violent criminal feel bad get kill criminal
333,False,want know shoot pretty tell story shoot rest matter
334,False,hahahahaha molyneux recite rap lyric intense
335,False,deadly force fine line m brutal s winning
336,False,michael brown research opinion man dangerous rob store weapon dangerous criminal gentle giant proof show brown attack wilson peace officer beginning race issue government medium create race issue attack constitutional right
337,True,think get bunch fact lean skittle iced tea wilson know robbery video bunch poppy cock thank waste time
338,False,medical cannabis guy like couple face book fight page not mean necessarily aggressive
339,True,lol trayvon online nolimitnigga people get mad piece human trash like get shoot
340,False,oh brown armedtwo big muscular arm
341,False,time report mr brown approach officer officer engage young man mr brown run away officer report fire flight inconsistent turn confront cop hit bullet like black folk listen spin video give weight eye witness report video discredit dead young man
342,False,nicely
